tld,score
mobi,0.06
moda,0
moe,0.02
moi,0
mom,1.2
monash,0
money,0.02
monster,1.08
mortgage,0
moscow,0
motorcycles,0.07
mov,0
movie,0
mp,0
mq,0
mr,0.1
ms,0.01
mt,0
mu,0
museum,0
music,0
mv,0
mw,0
mx,0.01
my,0.01
mz,0
na,0
nagoya,0
name,0.71
navy,0
nc,0
ne,0
net,0.13
netflix,0
network,0.06
neustar,0
new,0
news,0.04
next,0
nexus,0
nf,0.14
ng,0.19
ngo,0
ni,0
nike,0
ninja,0
nl,0.01
no,0
np,0
nr,0
nrw,0
ntt,0
nu,0.01
nyc,0
nz,0
observer,0.05
office,0
okinawa,1.05
olayan,0
om,0
one,0.27
ong,0
onl,0
online,0.15
ooo,0
orange,0
org,0.07
organic,0
osaka,0
ovh,0.03
pa,0
page,0
panasonic,0
paris,0.06
partners,0.04
parts,0
party,0.01
pe,0.01
pet,0
pf,0
pg,0
ph,0.01
pharmacy,0
phd,0
philips,0
photo,0
photography,0
photos,0
physio,0
pics,0.85
pictet,0
pictures,0
pink,0
pizza,0.03
pk,0.04
pl,0.12
place,0
plumbing,0
plus,0
pm,0.15
pn,0
poker,0
porn,0
post,0
pr,0
praxi,0
press,0.02
prime,0
pro,0.13
prod,0
productions,0.04
prof,0
promo,0.16
properties,0
property,0
ps,0
pt,0
pub,0.03
pw,0.07
py,0
qa,0
qpon,0
quebec,0
quest,0.97
racing,0
radio,0
re,0
realestate,0
realtor,0
realty,0
recipes,0
red,0.03
rehab,0
reise,0
reit,0
ren,0.01
rent,0.02
rentals,0
repair,0.02
report,0.01
republican,0
rest,4.05
restaurant,0
review,0
reviews,0
rich,0
ricoh,0
rio,0.04
rip,0.01
ro,0.01
rocks,0.14
rodeo,0.03
rs,0
rsvp,0
ru,0
rugby,0
ruhr,0.13
run,0.17
rw,0
ryukyu,0
sa,0
saarland,0
sale,0.21
salon,0
sandvik,0
sandvikcoromant,0
sanofi,0
sap,0
sarl,0
saxo,0
sb,0.02
sbi,0
sbs,0.07
sc,0.01
scb,0
schaeffler,0
schmidt,0
school,0
schule,0
schwarz,0
science,0
scot,0
sd,0
se,0.02
seat,0
security,0
select,0
sener,0
services,0.14
sex,0
sexy,0
sg,0
sh,0.03
sharp,0
shell,0
shiksha,0
shoes,0
shop,0.47
shopping,0.01
show,0
si,0
singles,0.12
site,0.17
sk,0
ski,0
skin,1.09
sky,0
skype,0
sl,0
sm,0
sn,0
sncf,0
so,0.03
soccer,0
social,0.01
software,0
solar,0
solutions,0.01
sony,0
soy,0
spa,0
space,0.25
sport,0
sr,0
srl,0
ss,0
st,0.01
statefarm,0
stc,0
stockholm,0
storage,0
store,0.06
stream,0
studio,0
study,0
style,0
su,0.21
sucks,0
supplies,0
supply,0
support,0.57
surf,0
surgery,0
suzuki,0
sv,0
swiss,0
sx,0.02
sy,0
sydney,0
systems,0.02
sz,0
taipei,0
tatamotors,0
tatar,0
tattoo,0.15
tax,0
taxi,0
tc,0
td,0
team,0.03
tech,0.04
technology,0
tel,0.05
tennis,0
teva,0
tf,0.08
tg,0
th,0.01
theater,0.09
tickets,0
tienda,0
tips,0.02
tires,0
tirol,0
tj,0
tk,0.7
tl,0
tm,0
tn,0
to,0.09
today,0.34
tokyo,0.16
tools,0.01
top,1.64
toray,0
toshiba,0
tours,0
town,0.01
toyota,0
toys,0
tr,0.02
trade,0.08
trading,0
training,0
travel,0
tt,0
tube,0.06
tui,0
tv,0.04
tw,0.01
tz,0
ua,0.02
ug,0.25
uk,0.04
university,0
uno,0.2
uol,0
us,0.32
uy,0
uz,0
va,0
vacations,0
vc,0.01
ve,0
vegas,0.09
ventures,0
versicherung,0
vet,0.2
vg,0
vi,0
viajes,0
video,0
vig,0
villas,0
vin,0.01
vip,0.24
vision,0
vivo,0
vlaanderen,0
vn,0
vodka,0
vote,0
voting,0
voto,0.15
voyage,0
vu,0
wales,0.2
walter,0
wang,0
watch,0
webcam,0
weber,0.05
website,0.33
wedding,0
weir,0
wf,0
wien,0.12
wiki,1
win,0.05
windows,0
wine,0
woodside,0
work,0.15
works,0.03
world,0.11
ws,0.11
wtf,0.05
xbox,0
xin,0
xn--2scrj9c,0
xn--3bst00m,0
xn--3ds443g,0
xn--3e0b707e,0
xn--45br5cyl,0
xn--45brj9c,0
xn--4dbrk0ce,0
xn--54b7fta0cc,0
xn--55qx5d,0
xn--5tzm5g,0
xn--6frz82g,0.02
xn--6qq986b3xl,0
xn--80adxhks,0
xn--80asehdb,0
xn--80aswg,0
xn--90a3ac,0
xn--90ae,0
xn--90ais,0
xn--9dbq2a,0
xn--c1avg,0
xn--czr694b,0
xn--czrs0t,0
xn--czru2d,0
xn--d1acj3b,0
xn--e1a4c,0
xn--fiq228c5hs,0
xn--fiqs8s,0
xn--fiqz9s,0
xn--fjq720a,0
xn--fpcrj9c3d,0
xn--fzc2c9e2c,0
xn--g2xx48c,0
xn--gecrj9c,0
xn--h2breg3eve,0
xn--h2brj9c,0
xn--h2brj9c8c,0
xn--hxt814e,0
xn--i1b6b1a6a2e,0
xn--io0a7i,0
xn--j1amh,0
xn--j6w193g,0
xn--jvr189m,0
xn--kpry57d,0
xn--kput3i,0
xn--mgba3a4f16a,0
xn--mgbbh1a71e,0
xn--mgberp4a5d4ar,0
xn--mgbgu82a,0
xn--mk1bu44c,0.32
xn--ngbc5azd,0
xn--node,0
xn--nqv7f,0
xn--o3cw4h,0
xn--otu796d,0
xn--p1acf,0.01
xn--p1ai,0
xn--q9jyb4c,0
xn--qxa6a,0
xn--qxam,0
xn--rhqv96g,0
xn--rvc1e0am3e,0
xn--s9brj9c,0
xn--ses554g,0
xn--t60b56a,0
xn--tckwe,0
xn--unup4y,0
xn--vhquv,0
xn--vuq861b,0
xn--wgbh1c,0
xn--xhq521b,0
xn--xkc2al3hye2a,0
xn--xkc2dl3a5ee0h,0
xn--y9a3aq,0
xn--yfro4i67o,0
xxx,0
xyz,0.19
yachts,0
yahoo,0
yandex,0
ye,0
yodobashi,0
yoga,0.07
yokohama,0
you,0
youtube,0
yt,0
za,0.01
zip,0
zm,0
zone,0.72
zuerich,0
zw,0
